"행정구역(시군구)별","성별","연령별",2024
"전국","계","계",51037252.5
"전국","계","0 - 4세",1302901
"전국","계","5 - 9세",1932012
"전국","계","10 - 14세",2324788.5
"전국","계","15 - 19세",2304289.5
"전국","계","20 - 24세",2715177.5
"전국","계","25 - 29세",3345302.5
"전국","계","30 - 34세",3426128
"전국","계","35 - 39세",3145432
"전국","계","40 - 44세",3942230
"전국","계","45 - 49세",3830094
"전국","계","50 - 54세",4434533.5
"전국","계","55 - 59세",4201489.5
"전국","계","60 - 64세",4177398.5
"전국","계","65 - 69세",3502182
"전국","계","70 - 74세",2324531.5
"전국","계","75 - 79세",1737959
"전국","계","80세 이상",2390803.5
"전국","계","80 - 84세",1332256.5
"전국","계","85세 이상",1058547
"전국","계","85 - 89세",737135.5
"전국","계","90 - 94세",257365.5
"전국","계","95 - 99세",55929
"전국","계","100세 이상",8117
"전국","남자","계",25400503
"전국","남자","0 - 4세",667110
"전국","남자","5 - 9세",990610.5
"전국","남자","10 - 14세",1193452
"전국","남자","15 - 19세",1187034.5
"전국","남자","20 - 24세",1410684.5
"전국","남자","25 - 29세",1749087
"전국","남자","30 - 34세",1802576
"전국","남자","35 - 39세",1620174
"전국","남자","40 - 44세",2005710
"전국","남자","45 - 49세",1942249.5
"전국","남자","50 - 54세",2243646.5
"전국","남자","55 - 59세",2105625.5
"전국","남자","60 - 64세",2075897.5
"전국","남자","65 - 69세",1703153
"전국","남자","70 - 74세",1092697
"전국","남자","75 - 79세",776189.5
"전국","남자","80세 이상",834606
"전국","남자","80 - 84세",521935
"전국","남자","85세 이상",312671
"전국","남자","85 - 89세",238765.5
"전국","남자","90 - 94세",62485
"전국","남자","95 - 99세",10087
"전국","남자","100세 이상",1333.5
"전국","여자","계",25636749.5
"전국","여자","0 - 4세",635791
"전국","여자","5 - 9세",941401.5
"전국","여자","10 - 14세",1131336.5
"전국","여자","15 - 19세",1117255
"전국","여자","20 - 24세",1304493
"전국","여자","25 - 29세",1596215.5
"전국","여자","30 - 34세",1623552
"전국","여자","35 - 39세",1525258
"전국","여자","40 - 44세",1936520
"전국","여자","45 - 49세",1887844.5
"전국","여자","50 - 54세",2190887
"전국","여자","55 - 59세",2095864
"전국","여자","60 - 64세",2101501
"전국","여자","65 - 69세",1799029
"전국","여자","70 - 74세",1231834.5
"전국","여자","75 - 79세",961769.5
"전국","여자","80세 이상",1556197.5
"전국","여자","80 - 84세",810321.5
"전국","여자","85세 이상",745876
"전국","여자","85 - 89세",498370
"전국","여자","90 - 94세",194880.5
"전국","여자","95 - 99세",45842
"전국","여자","100세 이상",6783.5
"서울특별시","계","계",9288119
"서울특별시","계","0 - 4세",207902.5
"서울특별시","계","5 - 9세",290336.5
"서울특별시","계","10 - 14세",352599
"서울특별시","계","15 - 19세",372385.5
"서울특별시","계","20 - 24세",540958
"서울특별시","계","25 - 29세",786238
"서울특별시","계","30 - 34세",783490.5
"서울특별시","계","35 - 39세",643327.5
"서울특별시","계","40 - 44세",716405
"서울특별시","계","45 - 49세",671810.5
"서울특별시","계","50 - 54세",774897
"서울특별시","계","55 - 59세",696882.5
"서울특별시","계","60 - 64세",690923.5
"서울특별시","계","65 - 69세",615615.5
"서울특별시","계","70 - 74세",423867
"서울특별시","계","75 - 79세",327072.5
"서울특별시","계","80세 이상",393408
"서울특별시","계","80 - 84세",230572
"서울특별시","계","85세 이상",162836
"서울특별시","계","85 - 89세",114558.5
"서울특별시","계","90 - 94세",38085.5
"서울특별시","계","95 - 99세",8865
"서울특별시","계","100세 이상",1327
"서울특별시","남자","계",4486066.5
"서울특별시","남자","0 - 4세",106740.5
"서울특별시","남자","5 - 9세",148811.5
"서울특별시","남자","10 - 14세",181113
"서울특별시","남자","15 - 19세",189986
"서울특별시","남자","20 - 24세",253312.5
"서울특별시","남자","25 - 29세",373857
"서울특별시","남자","30 - 34세",393071
"서울특별시","남자","35 - 39세",320819.5
"서울특별시","남자","40 - 44세",355381
"서울특별시","남자","45 - 49세",330694
"서울특별시","남자","50 - 54세",382045
"서울특별시","남자","55 - 59세",340194
"서울특별시","남자","60 - 64세",330952
"서울특별시","남자","65 - 69세",286904.5
"서울특별시","남자","70 - 74세",194370.5
"서울특별시","남자","75 - 79세",145187
"서울특별시","남자","80세 이상",152627.5
"서울특별시","남자","80 - 84세",97849
"서울특별시","남자","85세 이상",54778.5
"서울특별시","남자","85 - 89세",41851.5
"서울특별시","남자","90 - 94세",10696.5
"서울특별시","남자","95 - 99세",1948
"서울특별시","남자","100세 이상",282.5
"서울특별시","여자","계",4802052.5
"서울특별시","여자","0 - 4세",101162
"서울특별시","여자","5 - 9세",141525
"서울특별시","여자","10 - 14세",171486
"서울특별시","여자","15 - 19세",182399.5
"서울특별시","여자","20 - 24세",287645.5
"서울특별시","여자","25 - 29세",412381
"서울특별시","여자","30 - 34세",390419.5
"서울특별시","여자","35 - 39세",322508
"서울특별시","여자","40 - 44세",361024
"서울특별시","여자","45 - 49세",341116.5
"서울특별시","여자","50 - 54세",392852
"서울특별시","여자","55 - 59세",356688.5
"서울특별시","여자","60 - 64세",359971.5
"서울특별시","여자","65 - 69세",328711
"서울특별시","여자","70 - 74세",229496.5
"서울특별시","여자","75 - 79세",181885.5
"서울특별시","여자","80세 이상",240780.5
"서울특별시","여자","80 - 84세",132723
"서울특별시","여자","85세 이상",108057.5
"서울특별시","여자","85 - 89세",72707
"서울특별시","여자","90 - 94세",27389
"서울특별시","여자","95 - 99세",6917
"서울특별시","여자","100세 이상",1044.5
"부산광역시","계","계",3266012
"부산광역시","계","0 - 4세",73235.5
"부산광역시","계","5 - 9세",114749.5
"부산광역시","계","10 - 14세",134569.5
"부산광역시","계","15 - 19세",128223
"부산광역시","계","20 - 24세",167784
"부산광역시","계","25 - 29세",199344
"부산광역시","계","30 - 34세",203108
"부산광역시","계","35 - 39세",185150
"부산광역시","계","40 - 44세",243227.5
"부산광역시","계","45 - 49세",231595
"부산광역시","계","50 - 54세",270167.5
"부산광역시","계","55 - 59세",265532
"부산광역시","계","60 - 64세",288626
"부산광역시","계","65 - 69세",269382.5
"부산광역시","계","70 - 74세",190565
"부산광역시","계","75 - 79세",137247
"부산광역시","계","80세 이상",163506
"부산광역시","계","80 - 84세",97956
"부산광역시","계","85세 이상",65550
"부산광역시","계","85 - 89세",47076
"부산광역시","계","90 - 94세",14805
"부산광역시","계","95 - 99세",3265.5
"부산광역시","계","100세 이상",403.5
"부산광역시","남자","계",1590034.5
"부산광역시","남자","0 - 4세",37586
"부산광역시","남자","5 - 9세",58722.5
"부산광역시","남자","10 - 14세",69071
"부산광역시","남자","15 - 19세",65768.5
"부산광역시","남자","20 - 24세",85754
"부산광역시","남자","25 - 29세",102369.5
"부산광역시","남자","30 - 34세",105549.5
"부산광역시","남자","35 - 39세",94547
"부산광역시","남자","40 - 44세",122933
"부산광역시","남자","45 - 49세",116745.5
"부산광역시","남자","50 - 54세",133711
"부산광역시","남자","55 - 59세",127895
"부산광역시","남자","60 - 64세",136414.5
"부산광역시","남자","65 - 69세",125904.5
"부산광역시","남자","70 - 74세",87340.5
"부산광역시","남자","75 - 79세",60608.5
"부산광역시","남자","80세 이상",59114
"부산광역시","남자","80 - 84세",39313.5
"부산광역시","남자","85세 이상",19800.5
"부산광역시","남자","85 - 89세",15614.5
"부산광역시","남자","90 - 94세",3610.5
"부산광역시","남자","95 - 99세",524.5
"부산광역시","남자","100세 이상",51
"부산광역시","여자","계",1675977.5
"부산광역시","여자","0 - 4세",35649.5
"부산광역시","여자","5 - 9세",56027
"부산광역시","여자","10 - 14세",65498.5
"부산광역시","여자","15 - 19세",62454.5
"부산광역시","여자","20 - 24세",82030
"부산광역시","여자","25 - 29세",96974.5
"부산광역시","여자","30 - 34세",97558.5
"부산광역시","여자","35 - 39세",90603
"부산광역시","여자","40 - 44세",120294.5
"부산광역시","여자","45 - 49세",114849.5
"부산광역시","여자","50 - 54세",136456.5
"부산광역시","여자","55 - 59세",137637
"부산광역시","여자","60 - 64세",152211.5
"부산광역시","여자","65 - 69세",143478
"부산광역시","여자","70 - 74세",103224.5
"부산광역시","여자","75 - 79세",76638.5
"부산광역시","여자","80세 이상",104392
"부산광역시","여자","80 - 84세",58642.5
"부산광역시","여자","85세 이상",45749.5
"부산광역시","여자","85 - 89세",31461.5
"부산광역시","여자","90 - 94세",11194.5
"부산광역시","여자","95 - 99세",2741
"부산광역시","여자","100세 이상",352.5
"대구광역시","계","계",2361081.5
"대구광역시","계","0 - 4세",56224.5
"대구광역시","계","5 - 9세",90052.5
"대구광역시","계","10 - 14세",106599
"대구광역시","계","15 - 19세",106510
"대구광역시","계","20 - 24세",129361.5
"대구광역시","계","25 - 29세",145378
"대구광역시","계","30 - 34세",146713.5
"대구광역시","계","35 - 39세",133597.5
"대구광역시","계","40 - 44세",172950.5
"대구광역시","계","45 - 49세",175602
"대구광역시","계","50 - 54세",210577.5
"대구광역시","계","55 - 59세",206315.5
"대구광역시","계","60 - 64세",202408
"대구광역시","계","65 - 69세",166794
"대구광역시","계","70 - 74세",117120
"대구광역시","계","75 - 79세",82876.5
"대구광역시","계","80세 이상",112001
"대구광역시","계","80 - 84세",64626.5
"대구광역시","계","85세 이상",47374.5
"대구광역시","계","85 - 89세",33952
"대구광역시","계","90 - 94세",11079.5
"대구광역시","계","95 - 99세",2091
"대구광역시","계","100세 이상",252
"대구광역시","남자","계",1158255
"대구광역시","남자","0 - 4세",28903.5
"대구광역시","남자","5 - 9세",46178
"대구광역시","남자","10 - 14세",54625.5
"대구광역시","남자","15 - 19세",55208.5
"대구광역시","남자","20 - 24세",68077
"대구광역시","남자","25 - 29세",76491
"대구광역시","남자","30 - 34세",78725.5
"대구광역시","남자","35 - 39세",70649
"대구광역시","남자","40 - 44세",85860.5
"대구광역시","남자","45 - 49세",86721.5
"대구광역시","남자","50 - 54세",102763.5
"대구광역시","남자","55 - 59세",100322.5
"대구광역시","남자","60 - 64세",97476.5
"대구광역시","남자","65 - 69세",78863
"대구광역시","남자","70 - 74세",52910.5
"대구광역시","남자","75 - 79세",35545.5
"대구광역시","남자","80세 이상",38933.5
"대구광역시","남자","80 - 84세",24753
"대구광역시","남자","85세 이상",14180.5
"대구광역시","남자","85 - 89세",11025.5
"대구광역시","남자","90 - 94세",2761.5
"대구광역시","남자","95 - 99세",363.5
"대구광역시","남자","100세 이상",30
"대구광역시","여자","계",1202826.5
"대구광역시","여자","0 - 4세",27321
"대구광역시","여자","5 - 9세",43874.5
"대구광역시","여자","10 - 14세",51973.5
"대구광역시","여자","15 - 19세",51301.5
"대구광역시","여자","20 - 24세",61284.5
"대구광역시","여자","25 - 29세",68887
"대구광역시","여자","30 - 34세",67988
"대구광역시","여자","35 - 39세",62948.5
"대구광역시","여자","40 - 44세",87090
"대구광역시","여자","45 - 49세",88880.5
"대구광역시","여자","50 - 54세",107814
"대구광역시","여자","55 - 59세",105993
"대구광역시","여자","60 - 64세",104931.5
"대구광역시","여자","65 - 69세",87931
"대구광역시","여자","70 - 74세",64209.5
"대구광역시","여자","75 - 79세",47331
"대구광역시","여자","80세 이상",73067.5
"대구광역시","여자","80 - 84세",39873.5
"대구광역시","여자","85세 이상",33194
"대구광역시","여자","85 - 89세",22926.5
"대구광역시","여자","90 - 94세",8318
"대구광역시","여자","95 - 99세",1727.5
"대구광역시","여자","100세 이상",222
"인천광역시","계","계",2993657.5
"인천광역시","계","0 - 4세",82058
"인천광역시","계","5 - 9세",116607
"인천광역시","계","10 - 14세",137600
"인천광역시","계","15 - 19세",134303.5
"인천광역시","계","20 - 24세",156240.5
"인천광역시","계","25 - 29세",200339.5
"인천광역시","계","30 - 34세",217616.5
"인천광역시","계","35 - 39세",197713.5
"인천광역시","계","40 - 44세",244604.5
"인천광역시","계","45 - 49세",230176.5
"인천광역시","계","50 - 54세",261140.5
"인천광역시","계","55 - 59세",251012
"인천광역시","계","60 - 64세",251306
"인천광역시","계","65 - 69세",196557
"인천광역시","계","70 - 74세",117670
"인천광역시","계","75 - 79세",86699.5
"인천광역시","계","80세 이상",112013
"인천광역시","계","80 - 84세",61863.5
"인천광역시","계","85세 이상",50149.5
"인천광역시","계","85 - 89세",34198
"인천광역시","계","90 - 94세",12525
"인천광역시","계","95 - 99세",2959
"인천광역시","계","100세 이상",467.5
"인천광역시","남자","계",1494926
"인천광역시","남자","0 - 4세",42050
"인천광역시","남자","5 - 9세",59778.5
"인천광역시","남자","10 - 14세",70601.5
"인천광역시","남자","15 - 19세",68848.5
"인천광역시","남자","20 - 24세",80647.5
"인천광역시","남자","25 - 29세",103889
"인천광역시","남자","30 - 34세",113984.5
"인천광역시","남자","35 - 39세",102426.5
"인천광역시","남자","40 - 44세",125860.5
"인천광역시","남자","45 - 49세",117938.5
"인천광역시","남자","50 - 54세",131288.5
"인천광역시","남자","55 - 59세",123320
"인천광역시","남자","60 - 64세",124984.5
"인천광역시","남자","65 - 69세",95972
"인천광역시","남자","70 - 74세",56045.5
"인천광역시","남자","75 - 79세",38921.5
"인천광역시","남자","80세 이상",38369
"인천광역시","남자","80 - 84세",24147.5
"인천광역시","남자","85세 이상",14221.5
"인천광역시","남자","85 - 89세",10767.5
"인천광역시","남자","90 - 94세",2855.5
"인천광역시","남자","95 - 99세",507
"인천광역시","남자","100세 이상",91.5
"인천광역시","여자","계",1498731.5
"인천광역시","여자","0 - 4세",40008
"인천광역시","여자","5 - 9세",56828.5
"인천광역시","여자","10 - 14세",66998.5
"인천광역시","여자","15 - 19세",65455
"인천광역시","여자","20 - 24세",75593
"인천광역시","여자","25 - 29세",96450.5
"인천광역시","여자","30 - 34세",103632
"인천광역시","여자","35 - 39세",95287
"인천광역시","여자","40 - 44세",118744
"인천광역시","여자","45 - 49세",112238
"인천광역시","여자","50 - 54세",129852
"인천광역시","여자","55 - 59세",127692
"인천광역시","여자","60 - 64세",126321.5
"인천광역시","여자","65 - 69세",100585
"인천광역시","여자","70 - 74세",61624.5
"인천광역시","여자","75 - 79세",47778
"인천광역시","여자","80세 이상",73644
"인천광역시","여자","80 - 84세",37716
"인천광역시","여자","85세 이상",35928
"인천광역시","여자","85 - 89세",23430.5
"인천광역시","여자","90 - 94세",9669.5
"인천광역시","여자","95 - 99세",2452
"인천광역시","여자","100세 이상",376
"광주광역시","계","계",1409318
"광주광역시","계","0 - 4세",37496
"광주광역시","계","5 - 9세",58791
"광주광역시","계","10 - 14세",72594
"광주광역시","계","15 - 19세",73793
"광주광역시","계","20 - 24세",87790
"광주광역시","계","25 - 29세",98261
"광주광역시","계","30 - 34세",90930
"광주광역시","계","35 - 39세",82263
"광주광역시","계","40 - 44세",110822
"광주광역시","계","45 - 49세",111500
"광주광역시","계","50 - 54세",126290.5
"광주광역시","계","55 - 59세",114391
"광주광역시","계","60 - 64세",104460.5
"광주광역시","계","65 - 69세",82522
"광주광역시","계","70 - 74세",56376
"광주광역시","계","75 - 79세",44769.5
"광주광역시","계","80세 이상",56268.5
"광주광역시","계","80 - 84세",32188.5
"광주광역시","계","85세 이상",24080
"광주광역시","계","85 - 89세",16729.5
"광주광역시","계","90 - 94세",5901
"광주광역시","계","95 - 99세",1263
"광주광역시","계","100세 이상",186.5
"광주광역시","남자","계",695116.5
"광주광역시","남자","0 - 4세",19057.5
"광주광역시","남자","5 - 9세",30142.5
"광주광역시","남자","10 - 14세",37392.5
"광주광역시","남자","15 - 19세",38139.5
"광주광역시","남자","20 - 24세",45847
"광주광역시","남자","25 - 29세",51223
"광주광역시","남자","30 - 34세",47695.5
"광주광역시","남자","35 - 39세",41822
"광주광역시","남자","40 - 44세",55417.5
"광주광역시","남자","45 - 49세",55260.5
"광주광역시","남자","50 - 54세",62533.5
"광주광역시","남자","55 - 59세",56311.5
"광주광역시","남자","60 - 64세",50537
"광주광역시","남자","65 - 69세",38871
"광주광역시","남자","70 - 74세",25414
"광주광역시","남자","75 - 79세",19414
"광주광역시","남자","80세 이상",20038
"광주광역시","남자","80 - 84세",12794
"광주광역시","남자","85세 이상",7244
"광주광역시","남자","85 - 89세",5583.5
"광주광역시","남자","90 - 94세",1416
"광주광역시","남자","95 - 99세",225.5
"광주광역시","남자","100세 이상",19
"광주광역시","여자","계",714201.5
"광주광역시","여자","0 - 4세",18438.5
"광주광역시","여자","5 - 9세",28648.5
"광주광역시","여자","10 - 14세",35201.5
"광주광역시","여자","15 - 19세",35653.5
"광주광역시","여자","20 - 24세",41943
"광주광역시","여자","25 - 29세",47038
"광주광역시","여자","30 - 34세",43234.5
"광주광역시","여자","35 - 39세",40441
"광주광역시","여자","40 - 44세",55404.5
"광주광역시","여자","45 - 49세",56239.5
"광주광역시","여자","50 - 54세",63757
"광주광역시","여자","55 - 59세",58079.5
"광주광역시","여자","60 - 64세",53923.5
"광주광역시","여자","65 - 69세",43651
"광주광역시","여자","70 - 74세",30962
"광주광역시","여자","75 - 79세",25355.5
"광주광역시","여자","80세 이상",36230.5
"광주광역시","여자","80 - 84세",19394.5
"광주광역시","여자","85세 이상",16836
"광주광역시","여자","85 - 89세",11146
"광주광역시","여자","90 - 94세",4485
"광주광역시","여자","95 - 99세",1037.5
"광주광역시","여자","100세 이상",167.5
"대전광역시","계","계",1435455
"대전광역시","계","0 - 4세",38983
"대전광역시","계","5 - 9세",55100
"대전광역시","계","10 - 14세",67004
"대전광역시","계","15 - 19세",69569.5
"대전광역시","계","20 - 24세",89345.5
"대전광역시","계","25 - 29세",106593
"대전광역시","계","30 - 34세",100926
"대전광역시","계","35 - 39세",87762
"대전광역시","계","40 - 44세",107161.5
"대전광역시","계","45 - 49세",108196.5
"대전광역시","계","50 - 54세",126292
"대전광역시","계","55 - 59세",115769
"대전광역시","계","60 - 64세",111319.5
"대전광역시","계","65 - 69세",92072.5
"대전광역시","계","70 - 74세",59633
"대전광역시","계","75 - 79세",42708.5
"대전광역시","계","80세 이상",57019.5
"대전광역시","계","80 - 84세",31835
"대전광역시","계","85세 이상",25184.5
"대전광역시","계","85 - 89세",17520
"대전광역시","계","90 - 94세",6129.5
"대전광역시","계","95 - 99세",1327
"대전광역시","계","100세 이상",208
"대전광역시","남자","계",715008.5
"대전광역시","남자","0 - 4세",20132
"대전광역시","남자","5 - 9세",28299
"대전광역시","남자","10 - 14세",34509.5
"대전광역시","남자","15 - 19세",35948.5
"대전광역시","남자","20 - 24세",45856.5
"대전광역시","남자","25 - 29세",56461
"대전광역시","남자","30 - 34세",53880
"대전광역시","남자","35 - 39세",45999.5
"대전광역시","남자","40 - 44세",53794
"대전광역시","남자","45 - 49세",53631.5
"대전광역시","남자","50 - 54세",63085.5
"대전광역시","남자","55 - 59세",57388.5
"대전광역시","남자","60 - 64세",54307.5
"대전광역시","남자","65 - 69세",44172
"대전광역시","남자","70 - 74세",27994.5
"대전광역시","남자","75 - 79세",19131
"대전광역시","남자","80세 이상",20418
"대전광역시","남자","80 - 84세",12698
"대전광역시","남자","85세 이상",7720
"대전광역시","남자","85 - 89세",5842
"대전광역시","남자","90 - 94세",1597.5
"대전광역시","남자","95 - 99세",246.5
"대전광역시","남자","100세 이상",34
"대전광역시","여자","계",720446.5
"대전광역시","여자","0 - 4세",18851
"대전광역시","여자","5 - 9세",26801
"대전광역시","여자","10 - 14세",32494.5
"대전광역시","여자","15 - 19세",33621
"대전광역시","여자","20 - 24세",43489
"대전광역시","여자","25 - 29세",50132
"대전광역시","여자","30 - 34세",47046
"대전광역시","여자","35 - 39세",41762.5
"대전광역시","여자","40 - 44세",53367.5
"대전광역시","여자","45 - 49세",54565
"대전광역시","여자","50 - 54세",63206.5
"대전광역시","여자","55 - 59세",58380.5
"대전광역시","여자","60 - 64세",57012
"대전광역시","여자","65 - 69세",47900.5
"대전광역시","여자","70 - 74세",31638.5
"대전광역시","여자","75 - 79세",23577.5
"대전광역시","여자","80세 이상",36601.5
"대전광역시","여자","80 - 84세",19137
"대전광역시","여자","85세 이상",17464.5
"대전광역시","여자","85 - 89세",11678
"대전광역시","여자","90 - 94세",4532
"대전광역시","여자","95 - 99세",1080.5
"대전광역시","여자","100세 이상",174
"울산광역시","계","계",1097533
"울산광역시","계","0 - 4세",29102.5
"울산광역시","계","5 - 9세",46955
"울산광역시","계","10 - 14세",56143.5
"울산광역시","계","15 - 19세",53211.5
"울산광역시","계","20 - 24세",53161
"울산광역시","계","25 - 29세",66470.5
"울산광역시","계","30 - 34세",69460.5
"울산광역시","계","35 - 39세",66704.5
"울산광역시","계","40 - 44세",89261
"울산광역시","계","45 - 49세",85500.5
"울산광역시","계","50 - 54세",99820.5
"울산광역시","계","55 - 59세",103082.5
"울산광역시","계","60 - 64세",96779
"울산광역시","계","65 - 69세",74931
"울산광역시","계","70 - 74세",45885.5
"울산광역시","계","75 - 79세",28469
"울산광역시","계","80세 이상",32595
"울산광역시","계","80 - 84세",19308
"울산광역시","계","85세 이상",13287
"울산광역시","계","85 - 89세",9326
"울산광역시","계","90 - 94세",3204
"울산광역시","계","95 - 99세",677
"울산광역시","계","100세 이상",80
"울산광역시","남자","계",563827
"울산광역시","남자","0 - 4세",14778.5
"울산광역시","남자","5 - 9세",24258.5
"울산광역시","남자","10 - 14세",29021.5
"울산광역시","남자","15 - 19세",27883
"울산광역시","남자","20 - 24세",30179
"울산광역시","남자","25 - 29세",38127
"울산광역시","남자","30 - 34세",38560.5
"울산광역시","남자","35 - 39세",35630.5
"울산광역시","남자","40 - 44세",46019.5
"울산광역시","남자","45 - 49세",44000
"울산광역시","남자","50 - 54세",49532
"울산광역시","남자","55 - 59세",52080
"울산광역시","남자","60 - 64세",49369
"울산광역시","남자","65 - 69세",37185
"울산광역시","남자","70 - 74세",22532
"울산광역시","남자","75 - 79세",13446
"울산광역시","남자","80세 이상",11225
"울산광역시","남자","80 - 84세",7682
"울산광역시","남자","85세 이상",3543
"울산광역시","남자","85 - 89세",2755
"울산광역시","남자","90 - 94세",693
"울산광역시","남자","95 - 99세",85.5
"울산광역시","남자","100세 이상",9.5
"울산광역시","여자","계",533706
"울산광역시","여자","0 - 4세",14324
"울산광역시","여자","5 - 9세",22696.5
"울산광역시","여자","10 - 14세",27122
"울산광역시","여자","15 - 19세",25328.5
"울산광역시","여자","20 - 24세",22982
"울산광역시","여자","25 - 29세",28343.5
"울산광역시","여자","30 - 34세",30900
"울산광역시","여자","35 - 39세",31074
"울산광역시","여자","40 - 44세",43241.5
"울산광역시","여자","45 - 49세",41500.5
"울산광역시","여자","50 - 54세",50288.5
"울산광역시","여자","55 - 59세",51002.5
"울산광역시","여자","60 - 64세",47410
"울산광역시","여자","65 - 69세",37746
"울산광역시","여자","70 - 74세",23353.5
"울산광역시","여자","75 - 79세",15023
"울산광역시","여자","80세 이상",21370
"울산광역시","여자","80 - 84세",11626
"울산광역시","여자","85세 이상",9744
"울산광역시","여자","85 - 89세",6571
"울산광역시","여자","90 - 94세",2511
"울산광역시","여자","95 - 99세",591.5
"울산광역시","여자","100세 이상",70.5
"세종특별자치시","계","계",387775.5
"세종특별자치시","계","0 - 4세",16732.5
"세종특별자치시","계","5 - 9세",25704
"세종특별자치시","계","10 - 14세",28183
"세종특별자치시","계","15 - 19세",23416
"세종특별자치시","계","20 - 24세",17618
"세종특별자치시","계","25 - 29세",19774.5
"세종특별자치시","계","30 - 34세",27446
"세종특별자치시","계","35 - 39세",31531.5
"세종특별자치시","계","40 - 44세",40885.5
"세종특별자치시","계","45 - 49세",36034
"세종특별자치시","계","50 - 54세",32029.5
"세종특별자치시","계","55 - 59세",23570.5
"세종특별자치시","계","60 - 64세",21050.5
"세종특별자치시","계","65 - 69세",16816
"세종특별자치시","계","70 - 74세",10275
"세종특별자치시","계","75 - 79세",6803
"세종특별자치시","계","80세 이상",9906
"세종특별자치시","계","80 - 84세",5170
"세종특별자치시","계","85세 이상",4736
"세종특별자치시","계","85 - 89세",3130.5
"세종특별자치시","계","90 - 94세",1273.5
"세종특별자치시","계","95 - 99세",294.5
"세종특별자치시","계","100세 이상",37.5
"세종특별자치시","남자","계",193000.5
"세종특별자치시","남자","0 - 4세",8423.5
"세종특별자치시","남자","5 - 9세",13133.5
"세종특별자치시","남자","10 - 14세",14414
"세종특별자치시","남자","15 - 19세",11648.5
"세종특별자치시","남자","20 - 24세",9216.5
"세종특별자치시","남자","25 - 29세",9788.5
"세종특별자치시","남자","30 - 34세",13485.5
"세종특별자치시","남자","35 - 39세",15596
"세종특별자치시","남자","40 - 44세",19884
"세종특별자치시","남자","45 - 49세",18046.5
"세종특별자치시","남자","50 - 54세",16927
"세종특별자치시","남자","55 - 59세",12115
"세종특별자치시","남자","60 - 64세",10593
"세종특별자치시","남자","65 - 69세",8265.5
"세종특별자치시","남자","70 - 74세",4981
"세종특별자치시","남자","75 - 79세",3139.5
"세종특별자치시","남자","80세 이상",3343
"세종특별자치시","남자","80 - 84세",2039
"세종특별자치시","남자","85세 이상",1304
"세종특별자치시","남자","85 - 89세",974
"세종특별자치시","남자","90 - 94세",271.5
"세종특별자치시","남자","95 - 99세",54
"세종특별자치시","남자","100세 이상",4.5
"세종특별자치시","여자","계",194775
"세종특별자치시","여자","0 - 4세",8309
"세종특별자치시","여자","5 - 9세",12570.5
"세종특별자치시","여자","10 - 14세",13769
"세종특별자치시","여자","15 - 19세",11767.5
"세종특별자치시","여자","20 - 24세",8401.5
"세종특별자치시","여자","25 - 29세",9986
"세종특별자치시","여자","30 - 34세",13960.5
"세종특별자치시","여자","35 - 39세",15935.5
"세종특별자치시","여자","40 - 44세",21001.5
"세종특별자치시","여자","45 - 49세",17987.5
"세종특별자치시","여자","50 - 54세",15102.5
"세종특별자치시","여자","55 - 59세",11455.5
"세종특별자치시","여자","60 - 64세",10457.5
"세종특별자치시","여자","65 - 69세",8550.5
"세종특별자치시","여자","70 - 74세",5294
"세종특별자치시","여자","75 - 79세",3663.5
"세종특별자치시","여자","80세 이상",6563
"세종특별자치시","여자","80 - 84세",3131
"세종특별자치시","여자","85세 이상",3432
"세종특별자치시","여자","85 - 89세",2156.5
"세종특별자치시","여자","90 - 94세",1002
