"행정구역(시군구)별","성별","연령별",2024
"세종특별자치시","여자","95 - 99세",240.5
"세종특별자치시","여자","100세 이상",33
"경기도","계","계",13598221.5
"경기도","계","0 - 4세",394776
"경기도","계","5 - 9세",569476.5
"경기도","계","10 - 14세",668766.5
"경기도","계","15 - 19세",648626.5
"경기도","계","20 - 24세",735179.5
"경기도","계","25 - 29세",915257
"경기도","계","30 - 34세",970622
"경기도","계","35 - 39세",914747.5
"경기도","계","40 - 44세",1138483
"경기도","계","45 - 49세",1083750.5
"경기도","계","50 - 54세",1220157.5
"경기도","계","55 - 59세",1108632
"경기도","계","60 - 64세",1044090
"경기도","계","65 - 69세",814930.5
"경기도","계","70 - 74세",499058
"경기도","계","75 - 79세",373354
"경기도","계","80세 이상",498314.5
"경기도","계","80 - 84세",276526.5
"경기도","계","85세 이상",221788
"경기도","계","85 - 89세",153796.5
"경기도","계","90 - 94세",53939
"경기도","계","95 - 99세",12280
"경기도","계","100세 이상",1772.5
"경기도","남자","계",6832865.5
"경기도","남자","0 - 4세",201955
"경기도","남자","5 - 9세",291533.5
"경기도","남자","10 - 14세",341919
"경기도","남자","15 - 19세",331946
"경기도","남자","20 - 24세",382275.5
"경기도","남자","25 - 29세",484396.5
"경기도","남자","30 - 34세",512647
"경기도","남자","35 - 39세",471468
"경기도","남자","40 - 44세",582173.5
"경기도","남자","45 - 49세",550305
"경기도","남자","50 - 54세",616271.5
"경기도","남자","55 - 59세",555140.5
"경기도","남자","60 - 64세",525361
"경기도","남자","65 - 69세",401711
"경기도","남자","70 - 74세",236751.5
"경기도","남자","75 - 79세",167675.5
"경기도","남자","80세 이상",179335.5
"경기도","남자","80 - 84세",110863.5
"경기도","남자","85세 이상",68472
"경기도","남자","85 - 89세",51805.5
"경기도","남자","90 - 94세",13983
"경기도","남자","95 - 99세",2318.5
"경기도","남자","100세 이상",365
"경기도","여자","계",6765356
"경기도","여자","0 - 4세",192821
"경기도","여자","5 - 9세",277943
"경기도","여자","10 - 14세",326847.5
"경기도","여자","15 - 19세",316680.5
"경기도","여자","20 - 24세",352904
"경기도","여자","25 - 29세",430860.5
"경기도","여자","30 - 34세",457975
"경기도","여자","35 - 39세",443279.5
"경기도","여자","40 - 44세",556309.5
"경기도","여자","45 - 49세",533445.5
"경기도","여자","50 - 54세",603886
"경기도","여자","55 - 59세",553491.5
"경기도","여자","60 - 64세",518729
"경기도","여자","65 - 69세",413219.5
"경기도","여자","70 - 74세",262306.5
"경기도","여자","75 - 79세",205678.5
"경기도","여자","80세 이상",318979
"경기도","여자","80 - 84세",165663
"경기도","여자","85세 이상",153316
"경기도","여자","85 - 89세",101991
"경기도","여자","90 - 94세",39956
"경기도","여자","95 - 99세",9961.5
"경기도","여자","100세 이상",1407.5
"강원특별자치도","계","계",1517359.5
"강원특별자치도","계","0 - 4세",37380
"강원특별자치도","계","5 - 9세",50906
"강원특별자치도","계","10 - 14세",62733
"강원특별자치도","계","15 - 19세",64980.5
"강원특별자치도","계","20 - 24세",76732
"강원특별자치도","계","25 - 29세",82774.5
"강원특별자치도","계","30 - 34세",81501.5
"강원특별자치도","계","35 - 39세",76467.5
"강원특별자치도","계","40 - 44세",99603
"강원특별자치도","계","45 - 49세",104029
"강원특별자치도","계","50 - 54세",128544.5
"강원특별자치도","계","55 - 59세",131558
"강원특별자치도","계","60 - 64세",145251.5
"강원특별자치도","계","65 - 69세",130879
"강원특별자치도","계","70 - 74세",81485
"강원특별자치도","계","75 - 79세",63912
"강원특별자치도","계","80세 이상",98622.5
"강원특별자치도","계","80 - 84세",54394
"강원특별자치도","계","85세 이상",44228.5
"강원특별자치도","계","85 - 89세",30741.5
"강원특별자치도","계","90 - 94세",10484.5
"강원특별자치도","계","95 - 99세",2605
"강원특별자치도","계","100세 이상",397.5
"강원특별자치도","남자","계",762647
"강원특별자치도","남자","0 - 4세",19030
"강원특별자치도","남자","5 - 9세",26053.5
"강원특별자치도","남자","10 - 14세",32276.5
"강원특별자치도","남자","15 - 19세",33898
"강원특별자치도","남자","20 - 24세",42658.5
"강원특별자치도","남자","25 - 29세",46638.5
"강원특별자치도","남자","30 - 34세",44405
"강원특별자치도","남자","35 - 39세",40060
"강원특별자치도","남자","40 - 44세",50620
"강원특별자치도","남자","45 - 49세",52930
"강원특별자치도","남자","50 - 54세",66628
"강원특별자치도","남자","55 - 59세",67375.5
"강원특별자치도","남자","60 - 64세",72896
"강원특별자치도","남자","65 - 69세",65531.5
"강원특별자치도","남자","70 - 74세",38906.5
"강원특별자치도","남자","75 - 79세",28696.5
"강원특별자치도","남자","80세 이상",34043
"강원특별자치도","남자","80 - 84세",21089.5
"강원특별자치도","남자","85세 이상",12953.5
"강원특별자치도","남자","85 - 89세",9980
"강원특별자치도","남자","90 - 94세",2440
"강원특별자치도","남자","95 - 99세",441
"강원특별자치도","남자","100세 이상",92.5
"강원특별자치도","여자","계",754712.5
"강원특별자치도","여자","0 - 4세",18350
"강원특별자치도","여자","5 - 9세",24852.5
"강원특별자치도","여자","10 - 14세",30456.5
"강원특별자치도","여자","15 - 19세",31082.5
"강원특별자치도","여자","20 - 24세",34073.5
"강원특별자치도","여자","25 - 29세",36136
"강원특별자치도","여자","30 - 34세",37096.5
"강원특별자치도","여자","35 - 39세",36407.5
"강원특별자치도","여자","40 - 44세",48983
"강원특별자치도","여자","45 - 49세",51099
"강원특별자치도","여자","50 - 54세",61916.5
"강원특별자치도","여자","55 - 59세",64182.5
"강원특별자치도","여자","60 - 64세",72355.5
"강원특별자치도","여자","65 - 69세",65347.5
"강원특별자치도","여자","70 - 74세",42578.5
"강원특별자치도","여자","75 - 79세",35215.5
"강원특별자치도","여자","80세 이상",64579.5
"강원특별자치도","여자","80 - 84세",33304.5
"강원특별자치도","여자","85세 이상",31275
"강원특별자치도","여자","85 - 89세",20761.5
"강원특별자치도","여자","90 - 94세",8044.5
"강원특별자치도","여자","95 - 99세",2164
"강원특별자치도","여자","100세 이상",305
"충청북도","계","계",1587714.5
"충청북도","계","0 - 4세",40830.5
"충청북도","계","5 - 9세",59725
"충청북도","계","10 - 14세",72122.5
"충청북도","계","15 - 19세",71496
"충청북도","계","20 - 24세",80651.5
"충청북도","계","25 - 29세",96708
"충청북도","계","30 - 34세",97529
"충청북도","계","35 - 39세",90367
"충청북도","계","40 - 44세",113403.5
"충청북도","계","45 - 49세",113322
"충청북도","계","50 - 54세",134061.5
"충청북도","계","55 - 59세",137561
"충청북도","계","60 - 64세",139746.5
"충청북도","계","65 - 69세",120511
"충청북도","계","70 - 74세",76521
"충청북도","계","75 - 79세",55524
"충청북도","계","80세 이상",87634.5
"충청북도","계","80 - 84세",47210.5
"충청북도","계","85세 이상",40424
"충청북도","계","85 - 89세",28400.5
"충청북도","계","90 - 94세",9763.5
"충청북도","계","95 - 99세",1998
"충청북도","계","100세 이상",262
"충청북도","남자","계",807333
"충청북도","남자","0 - 4세",20984
"충청북도","남자","5 - 9세",30608.5
"충청북도","남자","10 - 14세",36928.5
"충청북도","남자","15 - 19세",37223.5
"충청북도","남자","20 - 24세",43989.5
"충청북도","남자","25 - 29세",54089.5
"충청북도","남자","30 - 34세",54944.5
"충청북도","남자","35 - 39세",48095
"충청북도","남자","40 - 44세",58970
"충청북도","남자","45 - 49세",58612
"충청북도","남자","50 - 54세",69311
"충청북도","남자","55 - 59세",70173
"충청북도","남자","60 - 64세",71365
"충청북도","남자","65 - 69세",60375.5
"충청북도","남자","70 - 74세",36972
"충청북도","남자","75 - 79세",25199.5
"충청북도","남자","80세 이상",29492
"충청북도","남자","80 - 84세",17972.5
"충청북도","남자","85세 이상",11519.5
"충청북도","남자","85 - 89세",8920.5
"충청북도","남자","90 - 94세",2192.5
"충청북도","남자","95 - 99세",367.5
"충청북도","남자","100세 이상",39
"충청북도","여자","계",780381.5
"충청북도","여자","0 - 4세",19846.5
"충청북도","여자","5 - 9세",29116.5
"충청북도","여자","10 - 14세",35194
"충청북도","여자","15 - 19세",34272.5
"충청북도","여자","20 - 24세",36662
"충청북도","여자","25 - 29세",42618.5
"충청북도","여자","30 - 34세",42584.5
"충청북도","여자","35 - 39세",42272
"충청북도","여자","40 - 44세",54433.5
"충청북도","여자","45 - 49세",54710
"충청북도","여자","50 - 54세",64750.5
"충청북도","여자","55 - 59세",67388
"충청북도","여자","60 - 64세",68381.5
"충청북도","여자","65 - 69세",60135.5
"충청북도","여자","70 - 74세",39549
"충청북도","여자","75 - 79세",30324.5
"충청북도","여자","80세 이상",58142.5
"충청북도","여자","80 - 84세",29238
"충청북도","여자","85세 이상",28904.5
"충청북도","여자","85 - 89세",19480
"충청북도","여자","90 - 94세",7571
"충청북도","여자","95 - 99세",1630.5
"충청북도","여자","100세 이상",223
"충청남도","계","계",2126611.5
"충청남도","계","0 - 4세",55554.5
"충청남도","계","5 - 9세",83955
"충청남도","계","10 - 14세",102006.5
"충청남도","계","15 - 19세",99761.5
"충청남도","계","20 - 24세",105091
"충청남도","계","25 - 29세",117390
"충청남도","계","30 - 34세",124550.5
"충청남도","계","35 - 39세",126252
"충청남도","계","40 - 44세",162210
"충청남도","계","45 - 49세",157250.5
"충청남도","계","50 - 54세",178301
"충청남도","계","55 - 59세",171499.5
"충청남도","계","60 - 64세",178590
"충청남도","계","65 - 69세",150293
"충청남도","계","70 - 74세",104020
"충청남도","계","75 - 79세",79108.5
"충청남도","계","80세 이상",130778
"충청남도","계","80 - 84세",66802.5
"충청남도","계","85세 이상",63975.5
"충청남도","계","85 - 89세",43902
"충청남도","계","90 - 94세",16309
"충청남도","계","95 - 99세",3282
"충청남도","계","100세 이상",482.5
"충청남도","남자","계",1089617
"충청남도","남자","0 - 4세",28546.5
"충청남도","남자","5 - 9세",43026.5
"충청남도","남자","10 - 14세",52582.5
"충청남도","남자","15 - 19세",51677
"충청남도","남자","20 - 24세",56986.5
"충청남도","남자","25 - 29세",66544.5
"충청남도","남자","30 - 34세",68917.5
"충청남도","남자","35 - 39세",67657
"충청남도","남자","40 - 44세",86222
"충청남도","남자","45 - 49세",83571.5
"충청남도","남자","50 - 54세",95439.5
"충청남도","남자","55 - 59세",90143.5
"충청남도","남자","60 - 64세",92143.5
"충청남도","남자","65 - 69세",75261.5
"충청남도","남자","70 - 74세",50033.5
"충청남도","남자","75 - 79세",36521
"충청남도","남자","80세 이상",44343
"충청남도","남자","80 - 84세",25527
"충청남도","남자","85세 이상",18816
"충청남도","남자","85 - 89세",14026
"충청남도","남자","90 - 94세",4099.5
"충청남도","남자","95 - 99세",621.5
"충청남도","남자","100세 이상",69
"충청남도","여자","계",1036994.5
"충청남도","여자","0 - 4세",27008
"충청남도","여자","5 - 9세",40928.5
"충청남도","여자","10 - 14세",49424
"충청남도","여자","15 - 19세",48084.5
"충청남도","여자","20 - 24세",48104.5
"충청남도","여자","25 - 29세",50845.5
"충청남도","여자","30 - 34세",55633
"충청남도","여자","35 - 39세",58595
"충청남도","여자","40 - 44세",75988
"충청남도","여자","45 - 49세",73679
"충청남도","여자","50 - 54세",82861.5
"충청남도","여자","55 - 59세",81356
"충청남도","여자","60 - 64세",86446.5
"충청남도","여자","65 - 69세",75031.5
"충청남도","여자","70 - 74세",53986.5
"충청남도","여자","75 - 79세",42587.5
"충청남도","여자","80세 이상",86435
"충청남도","여자","80 - 84세",41275.5
"충청남도","여자","85세 이상",45159.5
"충청남도","여자","85 - 89세",29876
"충청남도","여자","90 - 94세",12209.5
"충청남도","여자","95 - 99세",2660.5
"충청남도","여자","100세 이상",413.5
"전북특별자치도","계","계",1741636
"전북특별자치도","계","0 - 4세",37870.5
"전북특별자치도","계","5 - 9세",60876.5
"전북특별자치도","계","10 - 14세",80009
"전북특별자치도","계","15 - 19세",82727
"전북특별자치도","계","20 - 24세",91248
"전북특별자치도","계","25 - 29세",94378.5
"전북특별자치도","계","30 - 34세",88074.5
"전북특별자치도","계","35 - 39세",84141.5
"전북특별자치도","계","40 - 44세",114535.5
"전북특별자치도","계","45 - 49세",124108.5
"전북특별자치도","계","50 - 54세",151320
"전북특별자치도","계","55 - 59세",148700
"전북특별자치도","계","60 - 64세",153261.5
"전북특별자치도","계","65 - 69세",132657
"전북특별자치도","계","70 - 74세",97357
"전북특별자치도","계","75 - 79세",78152
"전북특별자치도","계","80세 이상",122219
"전북특별자치도","계","80 - 84세",64609.5
"전북특별자치도","계","85세 이상",57609.5
"전북특별자치도","계","85 - 89세",39460.5
"전북특별자치도","계","90 - 94세",14619.5
"전북특별자치도","계","95 - 99세",3078
"전북특별자치도","계","100세 이상",451.5
"전북특별자치도","남자","계",866774.5
"전북특별자치도","남자","0 - 4세",19171.5
"전북특별자치도","남자","5 - 9세",31256
"전북특별자치도","남자","10 - 14세",41155
"전북특별자치도","남자","15 - 19세",43016.5
"전북특별자치도","남자","20 - 24세",49403
"전북특별자치도","남자","25 - 29세",51370.5
"전북특별자치도","남자","30 - 34세",46714
"전북특별자치도","남자","35 - 39세",43082
"전북특별자치도","남자","40 - 44세",58418.5
"전북특별자치도","남자","45 - 49세",63671
"전북특별자치도","남자","50 - 54세",78727
"전북특별자치도","남자","55 - 59세",76940.5
"전북특별자치도","남자","60 - 64세",77380.5
"전북특별자치도","남자","65 - 69세",65518.5
"전북특별자치도","남자","70 - 74세",46098
"전북특별자치도","남자","75 - 79세",34747
"전북특별자치도","남자","80세 이상",40105
"전북특별자치도","남자","80 - 84세",23892
"전북특별자치도","남자","85세 이상",16213
"전북특별자치도","남자","85 - 89세",12230
"전북특별자치도","남자","90 - 94세",3391
"전북특별자치도","남자","95 - 99세",538
"전북특별자치도","남자","100세 이상",54
"전북특별자치도","여자","계",874861.5
"전북특별자치도","여자","0 - 4세",18699
"전북특별자치도","여자","5 - 9세",29620.5
"전북특별자치도","여자","10 - 14세",38854
"전북특별자치도","여자","15 - 19세",39710.5
"전북특별자치도","여자","20 - 24세",41845
"전북특별자치도","여자","25 - 29세",43008
"전북특별자치도","여자","30 - 34세",41360.5
"전북특별자치도","여자","35 - 39세",41059.5
"전북특별자치도","여자","40 - 44세",56117
"전북특별자치도","여자","45 - 49세",60437.5
"전북특별자치도","여자","50 - 54세",72593
"전북특별자치도","여자","55 - 59세",71759.5
"전북특별자치도","여자","60 - 64세",75881
"전북특별자치도","여자","65 - 69세",67138.5
"전북특별자치도","여자","70 - 74세",51259
"전북특별자치도","여자","75 - 79세",43405
"전북특별자치도","여자","80세 이상",82114
"전북특별자치도","여자","80 - 84세",40717.5
"전북특별자치도","여자","85세 이상",41396.5
"전북특별자치도","여자","85 - 89세",27230.5
"전북특별자치도","여자","90 - 94세",11228.5
"전북특별자치도","여자","95 - 99세",2540
"전북특별자치도","여자","100세 이상",397.5
"전라남도","계","계",1792325
"전라남도","계","0 - 4세",42598
"전라남도","계","5 - 9세",61904
"전라남도","계","10 - 14세",78973.5
"전라남도","계","15 - 19세",78616
"전라남도","계","20 - 24세",83562
"전라남도","계","25 - 29세",89806
"전라남도","계","30 - 34세",85269
"전라남도","계","35 - 39세",83579
"전라남도","계","40 - 44세",115102
"전라남도","계","45 - 49세",120720.5
"전라남도","계","50 - 54세",149841
"전라남도","계","55 - 59세",158196
"전라남도","계","60 - 64세",166026.5
"전라남도","계","65 - 69세",141845
"전라남도","계","70 - 74세",104656
"전라남도","계","75 - 79세",87789
"전라남도","계","80세 이상",143841.5
"전라남도","계","80 - 84세",77397.5
"전라남도","계","85세 이상",66444
"전라남도","계","85 - 89세",45987.5
"전라남도","계","90 - 94세",16512.5
"전라남도","계","95 - 99세",3386
"전라남도","계","100세 이상",558
"전라남도","남자","계",903382
"전라남도","남자","0 - 4세",21618
"전라남도","남자","5 - 9세",31746.5
"전라남도","남자","10 - 14세",40380.5
"전라남도","남자","15 - 19세",40600
"전라남도","남자","20 - 24세",46804.5
"전라남도","남자","25 - 29세",50219
"전라남도","남자","30 - 34세",45754
"전라남도","남자","35 - 39세",43414
"전라남도","남자","40 - 44세",60642.5
"전라남도","남자","45 - 49세",64242
"전라남도","남자","50 - 54세",80656.5
"전라남도","남자","55 - 59세",85255.5
"전라남도","남자","60 - 64세",86432.5
"전라남도","남자","65 - 69세",71929
"전라남도","남자","70 - 74세",50321
"전라남도","남자","75 - 79세",38724.5
"전라남도","남자","80세 이상",44642
"전라남도","남자","80 - 84세",27686.5
"전라남도","남자","85세 이상",16955.5
"전라남도","남자","85 - 89세",12906
"전라남도","남자","90 - 94세",3416.5
"전라남도","남자","95 - 99세",564.5
"전라남도","남자","100세 이상",68.5
"전라남도","여자","계",888943
"전라남도","여자","0 - 4세",20980
"전라남도","여자","5 - 9세",30157.5
"전라남도","여자","10 - 14세",38593
"전라남도","여자","15 - 19세",38016
"전라남도","여자","20 - 24세",36757.5
"전라남도","여자","25 - 29세",39587
"전라남도","여자","30 - 34세",39515
"전라남도","여자","35 - 39세",40165
"전라남도","여자","40 - 44세",54459.5
"전라남도","여자","45 - 49세",56478.5
"전라남도","여자","50 - 54세",69184.5
"전라남도","여자","55 - 59세",72940.5
"전라남도","여자","60 - 64세",79594
"전라남도","여자","65 - 69세",69916
"전라남도","여자","70 - 74세",54335
"전라남도","여자","75 - 79세",49064.5
"전라남도","여자","80세 이상",99199.5
"전라남도","여자","80 - 84세",49711
"전라남도","여자","85세 이상",49488.5
"전라남도","여자","85 - 89세",33081.5
"전라남도","여자","90 - 94세",13096
"전라남도","여자","95 - 99세",2821.5
"전라남도","여자","100세 이상",489.5
"경상북도","계","계",2535499
"경상북도","계","0 - 4세",57342
"경상북도","계","5 - 9세",88695.5
"경상북도","계","10 - 14세",108378
"경상북도","계","15 - 19세",108032.5
"경상북도","계","20 - 24세",116148.5
"경상북도","계","25 - 29세",125401.5
"경상북도","계","30 - 34세",128051
"경상북도","계","35 - 39세",128377.5
"경상북도","계","40 - 44세",172591.5
"경상북도","계","45 - 49세",176307
"경상북도","계","50 - 54세",215375
"경상북도","계","55 - 59세",225597.5
"경상북도","계","60 - 64세",241390
"경상북도","계","65 - 69세",210747
"경상북도","계","70 - 74세",151910
"경상북도","계","75 - 79세",106689
"경상북도","계","80세 이상",174465.5
"경상북도","계","80 - 84세",94178
"경상북도","계","85세 이상",80287.5
"경상북도","계","85 - 89세",56004
"경상북도","계","90 - 94세",19719.5
"경상북도","계","95 - 99세",4022.5
"경상북도","계","100세 이상",541.5
"경상북도","남자","계",1280919.5
"경상북도","남자","0 - 4세",29472.5
"경상북도","남자","5 - 9세",45598.5
"경상북도","남자","10 - 14세",56235.5
"경상북도","남자","15 - 19세",56936.5
"경상북도","남자","20 - 24세",66168.5
"경상북도","남자","25 - 29세",72253.5
"경상북도","남자","30 - 34세",71196.5
"경상북도","남자","35 - 39세",68554
"경상북도","남자","40 - 44세",89754
"경상북도","남자","45 - 49세",91711.5
"경상북도","남자","50 - 54세",112105.5
"경상북도","남자","55 - 59세",116181.5
"경상북도","남자","60 - 64세",123071.5
"경상북도","남자","65 - 69세",105121
"경상북도","남자","70 - 74세",72402
"경상북도","남자","75 - 79세",48135.5
"경상북도","남자","80세 이상",56021.5
"경상북도","남자","80 - 84세",34405
"경상북도","남자","85세 이상",21616.5
"경상북도","남자","85 - 89세",16524
"경상북도","남자","90 - 94세",4390
"경상북도","남자","95 - 99세",649.5
"경상북도","남자","100세 이상",53
"경상북도","여자","계",1254579.5
"경상북도","여자","0 - 4세",27869.5
"경상북도","여자","5 - 9세",43097
"경상북도","여자","10 - 14세",52142.5
"경상북도","여자","15 - 19세",51096
"경상북도","여자","20 - 24세",49980
"경상북도","여자","25 - 29세",53148
"경상북도","여자","30 - 34세",56854.5
"경상북도","여자","35 - 39세",59823.5
"경상북도","여자","40 - 44세",82837.5
"경상북도","여자","45 - 49세",84595.5
"경상북도","여자","50 - 54세",103269.5
"경상북도","여자","55 - 59세",109416
"경상북도","여자","60 - 64세",118318.5
"경상북도","여자","65 - 69세",105626
"경상북도","여자","70 - 74세",79508
"경상북도","여자","75 - 79세",58553.5
"경상북도","여자","80세 이상",118444
"경상북도","여자","80 - 84세",59773
"경상북도","여자","85세 이상",58671
"경상북도","여자","85 - 89세",39480
"경상북도","여자","90 - 94세",15329.5
"경상북도","여자","95 - 99세",3373
"경상북도","여자","100세 이상",488.5
"경상남도","계","계",3229883
"경상남도","계","0 - 4세",75799.5
"경상남도","계","5 - 9세",127639.5
"경상남도","계","10 - 14세",160116
"경상남도","계","15 - 19세",154731
"경상남도","계","20 - 24세",150280.5
"경상남도","계","25 - 29세",163370
"경상남도","계","30 - 34세",171442.5
"경상남도","계","35 - 39세",175328.5
"경상남도","계","40 - 44세",247315.5
"경상남도","계","45 - 49세",247629
"경상남도","계","50 - 54세",293830
"경상남도","계","55 - 59세",287176
"경상남도","계","60 - 64세",289700.5
"경상남도","계","65 - 69세",243466.5
"경상남도","계","70 - 74세",161668
"경상남도","계","75 - 79세",114664.5
"경상남도","계","80세 이상",165725.5
"경상남도","계","80 - 84세",90947
"경상남도","계","85세 이상",74778.5
"경상남도","계","85 - 89세",52023
"경상남도","계","90 - 94세",18641
"경상남도","계","95 - 99세",3678.5
"경상남도","계","100세 이상",436
"경상남도","남자","계",1626093.5
"경상남도","남자","0 - 4세",38941
"경상남도","남자","5 - 9세",65766
"경상남도","남자","10 - 14세",82576.5
"경상남도","남자","15 - 19세",80642
"경상남도","남자","20 - 24세",85074
"경상남도","남자","25 - 29세",91511.5
"경상남도","남자","30 - 34세",92745
"경상남도","남자","35 - 39세",91339.5
"경상남도","남자","40 - 44세",126986.5
"경상남도","남자","45 - 49세",127129
"경상남도","남자","50 - 54세",150733
"경상남도","남자","55 - 59세",145719
"경상남도","남자","60 - 64세",146022.5
"경상남도","남자","65 - 69세",120746.5
"경상남도","남자","70 - 74세",77200
"경상남도","남자","75 - 79세",51127.5
"경상남도","남자","80세 이상",51834
"경상남도","남자","80 - 84세",32746
"경상남도","남자","85세 이상",19088
"경상남도","남자","85 - 89세",14740
"경상남도","남자","90 - 94세",3756.5
"경상남도","남자","95 - 99세",535
"경상남도","남자","100세 이상",56.5
"경상남도","여자","계",1603789.5
"경상남도","여자","0 - 4세",36858.5
"경상남도","여자","5 - 9세",61873.5
"경상남도","여자","10 - 14세",77539.5
"경상남도","여자","15 - 19세",74089
"경상남도","여자","20 - 24세",65206.5
"경상남도","여자","25 - 29세",71858.5
"경상남도","여자","30 - 34세",78697.5
"경상남도","여자","35 - 39세",83989
"경상남도","여자","40 - 44세",120329
"경상남도","여자","45 - 49세",120500
"경상남도","여자","50 - 54세",143097
"경상남도","여자","55 - 59세",141457
"경상남도","여자","60 - 64세",143678
"경상남도","여자","65 - 69세",122720
"경상남도","여자","70 - 74세",84468
"경상남도","여자","75 - 79세",63537
"경상남도","여자","80세 이상",113891.5
"경상남도","여자","80 - 84세",58201
"경상남도","여자","85세 이상",55690.5
"경상남도","여자","85 - 89세",37283
"경상남도","여자","90 - 94세",14884.5
"경상남도","여자","95 - 99세",3143.5
"경상남도","여자","100세 이상",379.5
"제주특별자치도","계","계",669051
"제주특별자치도","계","0 - 4세",19015.5
"제주특별자치도","계","5 - 9세",30538.5
"제주특별자치도","계","10 - 14세",36391.5
"제주특별자치도","계","15 - 19세",33906.5
"제주특별자치도","계","20 - 24세",34026
"제주특별자치도","계","25 - 29세",37818.5
"제주특별자치도","계","30 - 34세",39397
"제주특별자치도","계","35 - 39세",38122
"제주특별자치도","계","40 - 44세",53668.5
"제주특별자치도","계","45 - 49세",52562
"제주특별자치도","계","50 - 54세",61888
"제주특별자치도","계","55 - 59세",56014.5
"제주특별자치도","계","60 - 64세",52469
"제주특별자치도","계","65 - 69세",42162.5
"제주특별자치도","계","70 - 74세",26465
"제주특별자치도","계","75 - 79세",22120.5
"제주특별자치도","계","80세 이상",32485.5
"제주특별자치도","계","80 - 84세",16671.5
"제주특별자치도","계","85세 이상",15814
"제주특별자치도","계","85 - 89세",10329.5
"제주특별자치도","계","90 - 94세",4374
"제주특별자치도","계","95 - 99세",857
"제주특별자치도","계","100세 이상",253.5
"제주특별자치도","남자","계",334636.5
"제주특별자치도","남자","0 - 4세",9720
"제주특별자치도","남자","5 - 9세",15697.5
"제주특별자치도","남자","10 - 14세",18649.5
"제주특별자치도","남자","15 - 19세",17664
"제주특별자치도","남자","20 - 24세",18434.5
"제주특별자치도","남자","25 - 29세",19857.5
"제주특별자치도","남자","30 - 34세",20300.5
"제주특별자치도","남자","35 - 39세",19014.5
"제주특별자치도","남자","40 - 44세",26773
"제주특별자치도","남자","45 - 49세",27039.5
"제주특별자치도","남자","50 - 54세",31888.5
"제주특별자치도","남자","55 - 59세",29070
"제주특별자치도","남자","60 - 64세",26591
"제주특별자치도","남자","65 - 69세",20821
"제주특별자치도","남자","70 - 74세",12424
"제주특별자치도","남자","75 - 79세",9969.5
"제주특별자치도","남자","80세 이상",10722
"제주특별자치도","남자","80 - 84세",6477
"제주특별자치도","남자","85세 이상",4245
"제주특별자치도","남자","85 - 89세",3220
"제주특별자치도","남자","90 - 94세",914
"제주특별자치도","남자","95 - 99세",97
"제주특별자치도","남자","100세 이상",14
"제주특별자치도","여자","계",334414.5
"제주특별자치도","여자","0 - 4세",9295.5
"제주특별자치도","여자","5 - 9세",14841
"제주특별자치도","여자","10 - 14세",17742
"제주특별자치도","여자","15 - 19세",16242.5
"제주특별자치도","여자","20 - 24세",15591.5
"제주특별자치도","여자","25 - 29세",17961
"제주특별자치도","여자","30 - 34세",19096.5
"제주특별자치도","여자","35 - 39세",19107.5
"제주특별자치도","여자","40 - 44세",26895.5
"제주특별자치도","여자","45 - 49세",25522.5
"제주특별자치도","여자","50 - 54세",29999.5
"제주특별자치도","여자","55 - 59세",26944.5
"제주특별자치도","여자","60 - 64세",25878
"제주특별자치도","여자","65 - 69세",21341.5
"제주특별자치도","여자","70 - 74세",14041
"제주특별자치도","여자","75 - 79세",12151
"제주특별자치도","여자","80세 이상",21763.5
"제주특별자치도","여자","80 - 84세",10194.5
"제주특별자치도","여자","85세 이상",11569
"제주특별자치도","여자","85 - 89세",7109.5
"제주특별자치도","여자","90 - 94세",3460
"제주특별자치도","여자","95 - 99세",760
"제주특별자치도","여자","100세 이상",239.5
